Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,*AAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
24,3,1001,369,0,0,369,869,3002,150245,23400,11700,107,0,0,0,0,0,37,6,0,19070.3,0.574479,0,0,0,369,0,0,0,107,0,0,0,0,0,0,0,0,0,0
24,4,999,371,0,0,371,784,3061,150667,27000,13500,131,0,0,0,0,0,47,8,0,18648.3,0.612392,0,0,0,371,0,0,0,131,0,0,0,0,0,0,0,0,0,0
25,1,1000,288,0,0,288,751,3912,153805,20800,10400,94,0,0,0,0,0,32,11,0,19331.8,0.859741,0,0,0,288,0,0,0,94,0,0,0,0,0,0,0,0,0,0
25,2,1000,276,0,0,276,736,3889,153853,19600,9800,95,0,0,0,0,0,46,9,0,19283.8,0.841397,0,0,0,276,0,0,0,95,0,0,0,0,0,0,0,0,0,0
25,3,1001,326,0,0,326,788,3845,153971,20600,10300,95,0,0,0,0,0,35,8,0,19165.8,0.81497,0,0,0,326,0,0,0,95,0,0,0,0,0,0,0,0,0,0
25,4,999,320,0,0,320,710,4007,153787,22000,11000,106,0,0,0,0,0,43,8,0,19349.8,0.690678,0,0,0,320,0,0,0,106,0,0,0,0,0,0,0,0,0,0
26,1,1000,259,0,0,259,680,4792,157155,19200,9600,90,0,0,0,0,0,24,5,0,19665.6,0.929413,0,0,0,259,0,0,0,90,0,0,0,0,0,0,0,0,0,0
26,2,999,238,0,0,238,666,4803,157038,18800,9400,90,0,0,0,0,0,27,11,0,19782.6,0.983866,0,0,0,238,0,0,0,90,0,0,0,0,0,0,0,0,0,0
26,3,1001,286,0,0,286,719,4774,157349,23200,11600,111,0,0,0,0,0,32,8,0,19471.6,0.930378,0,0,0,286,0,0,0,111,0,0,0,0,0,0,0,0,0,0
26,4,1000,277,0,0,277,645,4941,157267,19600,9800,93,0,0,0,0,0,33,10,0,19553.6,0.879535,0,0,0,277,0,0,0,93,0,0,0,0,0,0,0,0,0,0
27,1,1001,952,0,0,952,1377,4113,160083,15600,7800,73,0,0,0,721,0,20,8,0,20288.6,1,0,0,0,952,0,0,0,73,0,0,0,0,0,0,0,0,0,0
27,2,998,931,0,0,931,1324,4164,159662,13600,6800,64,0,0,0,727,0,25,8,0,20709.6,1,0,0,0,931,0,0,0,64,0,0,0,0,0,0,0,0,0,0
27,3,1001,956,0,0,956,1389,4137,160808,17400,8700,84,0,0,0,708,0,28,11,0,19563.6,0.839292,0,0,0,956,0,0,0,84,0,0,0,0,0,0,0,0,0,0
27,4,1000,958,0,0,958,1343,4307,160474,18800,9400,91,0,0,0,717,0,30,6,0,19897.6,0.997631,0,0,0,958,0,0,0,91,0,0,0,0,0,0,0,0,0,0
